,Date,Ross,Chandler,BT1,BT2,BT3,BT4,BT5,GR1,GR2,GR3,GR4,GR5,Total,Saury,Blue_Runner,Squid,Mackerel,Herring,Sardine,Mazuri_Vitamins,Garlic,Salmon,Bonito,Bluefish,Mahi,Goggle_Eye,Humbolt_Squid,Temperature,covid,light_training,GroupFeed,Varied_Target,All_GR,All_BT,All_SS,male,female,Day_of_week,Month,Day
0,2017-12-05,3.0,0.0,4.0,3.0,0.0,2.0,2.0,1.0,1.0,3.0,3.0,0.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,1,0,8.0,11.0,3.0,10.0,12.0,1,12,5
1,2017-12-07,4.0,5.0,2.0,2.0,5.0,3.0,5.0,0.0,0.0,2.0,2.0,0.0,30.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,1,0,4.0,17.0,9.0,16.0,14.0,3,12,7
2,2017-12-09,,,,,,,,1.0,3.0,1.0,0.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,0,0,0,0,8.0,,,1.0,7.0,5,12,9
3,2017-12-10,4.0,7.0,0.0,2.0,2.0,0.0,0.0,,,,,,15.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,0,0,0,0,,4.0,11.0,11.0,4.0,6,12,10
4,2017-12-12,3.0,1.0,3.0,2.0,4.0,1.0,1.0,1.0,1.0,5.0,1.0,3.0,26.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.4,0,0,1,0,11.0,11.0,4.0,9.0,17.0,1,12,12
5,2017-12-14,1.0,2.0,2.0,0.0,4.0,1.0,3.0,2.0,1.0,4.0,2.0,1.0,23.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,0,0,1,0,10.0,10.0,3.0,10.0,13.0,3,12,14
6,2017-12-16,,,,,,,,1.0,2.0,3.0,4.0,1.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,0,0,0,0,11.0,,,1.0,10.0,5,12,16
7,2017-12-17,3.0,6.0,1.0,3.0,6.0,4.0,1.0,,,,,,24.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,0,0,,15.0,9.0,11.0,13.0,6,12,17
8,2017-12-19,5.0,4.0,3.0,3.0,3.0,0.0,3.0,0.0,1.0,6.0,0.0,0.0,28.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.2,0,0,1,0,7.0,12.0,9.0,15.0,13.0,1,12,19
9,2017-12-21,6.0,10.0,1.0,1.0,2.0,3.0,1.0,3.0,0.0,5.0,0.0,2.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,73.6,0,0,1,0,10.0,8.0,16.0,21.0,13.0,3,12,21
